"REF_DATE","GEO","DGUID","Percent","Gender (3a)","Age (15A)","First official language spoken (5)","Immigrant and generation status (9)","Visible minority (15)","Highest certificate, diploma or degree (7A)","Census year (4)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","Total - Highest certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.1.1.1","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","No certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.1.2.1","16.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","High (secondary) school diploma or equivalency certificate","2021","","0","units","0","","1.1.1.1.1.1.1.3.1","26.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","Postsecondary certificate or diploma below bachelor level","2021","","0","units","0","","1.1.1.1.1.1.1.4.1","30.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","Bachelor’s degree or higher","2021","","0","units","0","","1.1.1.1.1.1.1.5.1","26.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","Bachelor's degree","2021","","0","units","0","","1.1.1.1.1.1.1.6.1","17.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total - Visible minority","University certificate, diploma or degree above bachelor level","2021","","0","units","0","","1.1.1.1.1.1.1.7.1","9.2","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","Total - Highest certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.2.1.1","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","No certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.2.2.1","14.7","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","High (secondary) school diploma or equivalency certificate","2021","","0","units","0","","1.1.1.1.1.1.2.3.1","24.4","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","Postsecondary certificate or diploma below bachelor level","2021","","0","units","0","","1.1.1.1.1.1.2.4.1","22.5","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","Bachelor’s degree or higher","2021","","0","units","0","","1.1.1.1.1.1.2.5.1","38.4","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","Bachelor's degree","2021","","0","units","0","","1.1.1.1.1.1.2.6.1","24.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","Total visible minority population","University certificate, diploma or degree above bachelor level","2021","","0","units","0","","1.1.1.1.1.1.2.7.1","13.8","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","Total - Highest certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.3.1.1","100.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","No certificate, diploma or degree","2021","","0","units","0","","1.1.1.1.1.1.3.2.1","14.0","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","High (secondary) school diploma or equivalency certificate","2021","","0","units","0","","1.1.1.1.1.1.3.3.1","23.6","","","","1"
"2021","Canada","2021A000011124","Percent","Total - Gender","Total - Age","Total - First official language spoken","Total – Immigrant and generation status","South Asian","Postsecondary certificate or diploma below bachelor level","2021","","0","units","0","","1.1.1.1.1.1.3.4.1","18.2","","","","1"
